Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Chevrolet Cruze LTZ AT,2016,1.65,1.8,6700,Petrol,Individual,Manual,0
Toyota Corolla Altis 1.8 G,2015,1.65,1.89,13700,Petrol,Individual,Manual,0
Toyota Corolla Altis 1.8 VL AT,2018,1.65,1.76,1300,Petrol,Individual,Automatic,0
Mercedes-Benz GLA Class 200 CDI SPORT,2016,1.63,1.97,38600,Petrol,Individual,Manual,0
Toyota Innova Crysta 2.8 GX AT 8S BSIV,2012,1.63,2.037,75000,Petrol,Individual,Manual,0
Kia Seltos HTX Plus AT D,2012,1.6,2.3,30000,Petrol,Individual,Manual,0
Maruti Ciaz RS ZDi Plus SHVS,2017,1.6,1.82,24000,Petrol,Individual,Automatic,0
Skoda Rapid 1.5 TDI AT Style Plus,2015,1.6,1.77,19000,Petrol,Individual,Automatic,0
Maruti Swift ZXI 2018,2011,1.56,2.3,213000,Petrol,Individual,Manual,0
BMW 6 Series GT 630d Luxury Line,2013,1.55,1.76,60000,Petrol,Individual,Manual,0
Honda Jazz 1.2 SV i VTEC,2017,1.55,1.73,50000,Petrol,Individual,Manual,0
Toyota Fortuner 2.8 2WD AT BSIV,2014,1.55,1.83,30000,Petrol,Individual,Manual,0
Hyundai Creta 1.6 CRDi SX,2014,1.52,1.72,21000,Petrol,Individual,Manual,0
Toyota Innova Crysta 2.8 ZX AT BSIV,2009,1.5,2,26000,Petrol,Individual,Manual,1
Hyundai Elite i20 Asta Option CVT BSIV,2009,1.5,1.83,1900,Petrol,Individual,Automatic,0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2011,1.5,1.77,22000,Petrol,Individual,Automatic,0
Lexus ES 300h,2014,1.5,1.76,32000,Petrol,Individual,Manual,0
Jaguar XF 2.0 Diesel Portfolio,2014,1.5,1.82,18000,Petrol,Individual,Manual,0
Tata Safari Storme EX,2006,1.45,1.82,55000,Petrol,Individual,Manual,0
Volvo XC40 D4 Inscription BSIV,2009,1.45,2,60000,Petrol,Individual,Manual,0
Toyota Camry 2.5 Hybrid,2013,1.45,1.82,25000,Petrol,Individual,Manual,1
Maruti Wagon R LXI,2008,1.45,2,49000,Petrol,Individual,Manual,1
Maruti Baleno Alpha 1.3,2014,1.45,1.9,24000,Petrol,Individual,Manual,1
Honda Jazz VX,2009,1.45,2.037,50000,Petrol,Individual,Manual,0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2016,1.43,1.57,35000,Petrol,Individual,Manual,0
Maruti Swift AMT VVT VXI,2009,1.42,1.77,500000,Petrol,Individual,Automatic,0
Toyota Etios VX,2011,1.41,1.76,33000,Petrol,Individual,Manual,0
Maruti Swift AMT ZXI,2012,1.4,1.82,35000,Petrol,Individual,Manual,1
Hyundai Grand i10 1.2 CRDi Sportz,2008,1.37,1.83,53000,Petrol,Individual,Manual,0
BMW X4 M Sport X xDrive20d,2007,1.35,2,92233,Petrol,Individual,Manual,0
BMW X4 M Sport X xDrive20d,2011,4.5,8.04,58000,Diesel,Dealer,Manual,1
Honda Amaze V CVT Petrol BSIV,2016,5.65,6.95,28200,Petrol,Dealer,Manual,0
Skoda Rapid 1.6 MPI AT Elegance,2012,4.2,5.85,53460,Petrol,Dealer,Manual,0
Volvo V40 D3 R-Design,2016,4,5.68,28282,Petrol,Dealer,Manual,0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,6.5,6.95,3493,Petrol,Dealer,Manual,1
Lexus ES 300h,2018,7,8.38,12479,Petrol,Dealer,Manual,0
Jaguar XF 2.0 Diesel Portfolio,2016,6.4,6.95,34797,Petrol,Dealer,Automatic,0
Tata Safari Storme EX,2018,9.15,9.35,3435,Petrol,Dealer,Manual,0
Volvo XC40 D4 Inscription BSIV,2016,6.1,6.95,21125,Diesel,Dealer,Manual,0
Toyota Camry 2.5 Hybrid,2013,4.35,5.85,35775,Petrol,Dealer,Manual,0
Maruti Wagon R LXI,2016,13,16.04,43535,Diesel,Dealer,Manual,0
Maruti Baleno Alpha 1.3,2017,12.5,14.85,22671,Petrol,Dealer,Manual,0
Honda Jazz VX,2012,4.15,8.04,31604,Petrol,Dealer,Manual,0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2018,6.5,6.95,20114,Petrol,Dealer,Manual,0
Maruti Swift AMT VVT VXI,2013,5.75,10.65,36100,Petrol,Dealer,Manual,0
Toyota Etios VX,2017,4.15,5.68,12500,Petrol,Dealer,Manual,0
Maruti Swift AMT ZXI,2017,4.4,5.68,15000,Petrol,Dealer,Manual,0
Hyundai Grand i10 1.2 CRDi Sportz,2015,7.7,10.65,45078,Petrol,Dealer,Manual,0
BMW X4 M Sport X xDrive20d,2013,5.75,10.65,36000,Petrol,Dealer,Manual,0
BMW X4 M Sport X xDrive20d,2018,4.75,5.68,38488,Petrol,Dealer,Manual,0
Honda Amaze V CVT Petrol BSIV,2014,5.75,8.04,32000,Petrol,Dealer,Automatic,0
Skoda Rapid 1.6 MPI AT Elegance,2015,7.25,8.85,77632,Diesel,Dealer,Manual,0
Volvo V40 D3 R-Design,2016,9.5,10.65,61381,Diesel,Dealer,Manual,0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2014,6.36,10.65,36198,Petrol,Dealer,Automatic,0
Lexus ES 300h,2012,3.95,5.85,22517,Petrol,Dealer,Manual,0
Jaguar XF 2.0 Diesel Portfolio,2016,6.5,6.95,24678,Petrol,Dealer,Manual,0
Tata Safari Storme EX,2012,3.8,5.68,57000,Petrol,Dealer,Manual,0
Volvo XC40 D4 Inscription BSIV,2013,6.2,10.65,60000,Diesel,Dealer,Manual,0
Toyota Camry 2.5 Hybrid,2013,4.35,8.04,52132,Diesel,Dealer,Manual,0
Maruti Wagon R LXI,2014,7.4,10.65,45000,Diesel,Dealer,Manual,0
Maruti Baleno Alpha 1.3,2018,10.5,10.65,15001,Petrol,Dealer,Manual,0
Honda Jazz VX,2016,12.7,16.04,12900,Petrol,Dealer,Automatic,0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,5.15,6.95,53000,Diesel,Dealer,Manual,0
Maruti Swift AMT VVT VXI,2016,6.75,6.95,4492,Petrol,Dealer,Manual,0
Toyota Etios VX,2018,10.35,10.65,15141,Petrol,Dealer,Manual,0
Maruti Swift AMT ZXI,2017,4.35,5.68,11849,Petrol,Dealer,Manual,0
Hyundai Grand i10 1.2 CRDi Sportz,2016,12.5,14.85,68000,Diesel,Dealer,Manual,0
BMW X4 M Sport X xDrive20d,2014,6.05,10.65,60241,Petrol,Dealer,Manual,0
BMW X4 M Sport X xDrive20d,2013,3.25,5.68,23709,Petrol,Dealer,Manual,0
Honda Amaze V CVT Petrol BSIV,2013,6.6,10.65,32322,Diesel,Dealer,Manual,0
Skoda Rapid 1.6 MPI AT Elegance,2016,6,8.38,35866,Petrol,Dealer,Manual,1
Volvo V40 D3 R-Design,2015,5.65,8.38,34000,Petrol,Dealer,Manual,0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,7.5,8.85,7000,Petrol,Dealer,Manual,0
Lexus ES 300h,2014,7.2,10.65,49000,Diesel,Dealer,Manual,0
Jaguar XF 2.0 Diesel Portfolio,2013,6.45,10.65,71000,Diesel,Dealer,Manual,0
Tata Safari Storme EX,2013,5,8.04,35000,Petrol,Dealer,Manual,0
Volvo XC40 D4 Inscription BSIV,2016,7.2,10.65,36000,Petrol,Dealer,Manual,0
Toyota Camry 2.5 Hybrid,2014,5.25,5.85,30000,Petrol,Dealer,Manual,0
Maruti Wagon R LXI,2017,6.5,8.85,17000,Petrol,Dealer,Manual,0
Maruti Baleno Alpha 1.3,2017,14.15,14.85,35934,Diesel,Dealer,Manual,0
Honda Jazz VX,2014,6.25,11.15,56701,Petrol,Dealer,Manual,0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2016,6.65,8.07,31427,Petrol,Dealer,Automatic,0
Maruti Swift AMT VVT VXI,2015,8.45,11.15,48000,Diesel,Dealer,Manual,0
Toyota Etios VX,2014,6.5,11.15,54242,Petrol,Dealer,Manual,0
Maruti Swift AMT ZXI,2013,4.25,6.6,53675,Petrol,Dealer,Manual,0
Hyundai Grand i10 1.2 CRDi Sportz,2017,11.5,14.85,49562,Petrol,Dealer,Manual,0
BMW X4 M Sport X xDrive20d,2016,9.75,14.85,40324,Petrol,Dealer,Manual,0
BMW X4 M Sport X xDrive20d,2016,9.65,14.85,25000,Petrol,Dealer,Manual,0
Honda Amaze V CVT Petrol BSIV,2015,5.15,8.25,36054,Petrol,Dealer,Manual,0
Skoda Rapid 1.6 MPI AT Elegance,2017,10.4,14.85,29223,Petrol,Dealer,Manual,0
Volvo V40 D3 R-Design,2017,6.75,7.22,5600,Petrol,Dealer,Manual,0
Tata Indigo CS eLX BS IV,2016,5.25,7.05,40023,Petrol,Dealer,Manual,0
Maruti Celerio ZXI AT,2017,7.85,8.95,16002,Petrol,Dealer,Manual,0
Hyundai Grand i10 1.2 CRDi Sportz Option,2016,5.25,8.25,40026,Petrol,Dealer,Manual,0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2018,7.75,9.95,21200,Petrol,Dealer,Manual,0
Tata Indigo CS LS (TDI) BS III,2015,4.9,8.25,35000,Petrol,Dealer,Manual,0
Renault KWID RXT Optional,2017,9.6,10.65,19434,Diesel,Dealer,Manual,0
Hyundai Xcent 1.2 CRDi S,2018,6.05,7.05,19000,Petrol,Dealer,Manual,0
Chevrolet Sail LT ABS,2016,7.95,11.25,18828,Petrol,Dealer,Manual,0
Maruti Alto LXI,2012,5.35,11.25,69341,Petrol,Dealer,Manual,1
Maruti Alto LXI,2010,4.25,11.25,69562,Petrol,Dealer,Manual,1
Maruti Ritz VDi,2016,8.75,11.25,27600,Petrol,Dealer,Manual,1
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2011,3.5,8.75,61203,Petrol,Dealer,Manual,1
Mahindra Scorpio M2DI,2015,6.55,8.05,16500,Petrol,Dealer,Manual,1
Maruti Vitara Brezza VDi Option,2017,12.15,14.85,30753,Petrol,Dealer,Automatic,1
Mahindra Verito 1.5 D6 BSIV,2016,9.9,14.85,24800,Petrol,Dealer,Manual,1
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2016,10.95,14.85,21780,Petrol,Dealer,Manual,1
Mahindra TUV 300 T8,2017,7.25,9.65,4000,Petrol,Dealer,Manual,1
Maruti Wagon R VXI BS IV,2015,7.5,14.85,40126,Petrol,Dealer,Manual,1
Hyundai Elite i20 Petrol Sportz,2016,6.5,7.15,14465,Petrol,Dealer,Manual,1
Hyundai i10 Sportz,2007,3.35,8.85,50456,Petrol,Dealer,Manual,1
Maruti Alto 800 LXI,2015,9.5,15.25,63000,Diesel,Dealer,Manual,1
Mahindra Verito 1.5 D4 BSIII,2017,10.24,13.05,9010,Petrol,Dealer,Manual,1
Ford Figo Aspire 1.2 Ti-VCT Titanium,2014,4.75,7.15,9800,Petrol,Dealer,Manual,1
Hyundai EON Magna Plus,2017,8.65,9.75,15059,Petrol,Dealer,Automatic,1
Tata Indica V2 DLS,2017,6.9,9.15,28569,Petrol,Dealer,Manual,1
Chevrolet Tavera Neo 3 9 Str BSIII,2016,7,8.75,44000,Petrol,Dealer,Automatic,1
Maruti Vitara Brezza VDi,2016,9.65,14.85,34000,Petrol,Dealer,Manual,0
Mahindra Bolero 2011-2019 ZLX,2017,11.36,14.85,10980,Petrol,Dealer,Manual,0
Mahindra Scorpio S10 7 Seater,2015,5.75,7.65,19000,Petrol,Dealer,Manual,0
Hyundai i10 Magna 1.1L,2016,6.65,7.35,31427,Petrol,Dealer,Automatic,0
Hyundai Santro GLS I - Euro II,2017,7.65,9.65,12000,Petrol,Dealer,Automatic,0
Hyundai Santro Xing XG AT eRLX Euro III,2011,4.5,11.15,38000,Petrol,Dealer,Automatic,0
Toyota Etios Liva GD,2015,5,8.05,33019,Petrol,Dealer,Automatic,0
Mahindra Verito 1.5 D4 BSIV,2016,9.8,14.34,60076,Diesel,Dealer,Automatic,0
Chevrolet Spark 1.0 E,2017,10.75,12.85,33988,Diesel,Dealer,Automatic,0
Ford Figo Diesel ZXI,2016,5.25,7.15,60000,Petrol,Dealer,Automatic,0
Mahindra Verito 1.5 D4 BSIII,2010,4.6,12.25,87934,Petrol,Dealer,Automatic,0
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2018,12.75,13.75,9000,Diesel,Dealer,Automatic,0
Mahindra Bolero 2011-2019 DI NON AC BS III White,2017,6.55,7.15,5464,Petrol,Dealer,Automatic,0
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2015,4.6,6.84,27000,Petrol,Dealer,Automatic,0
Mahindra Bolero DI,2014,6,10.79,43000,Diesel,Dealer,Automatic,0
Maruti Alto K10 LXI,2018,8.5,11.1,6900,Petrol,Dealer,Automatic,0
Maruti Alto LXi,2012,4.1,5.4,5200,Petrol,Dealer,Automatic,0
Maruti Wagon R LXI Minor,2015,5.85,8.12,42450,Diesel,Dealer,Manual,0
Mahindra NuvoSport N8 AMT,2019,10.5,11.08,2071,Diesel,Dealer,Manual,0
Hyundai Xcent 1.2 CRDi E,2016,8,9.37,18796,Petrol,Dealer,Manual,0
Maruti Swift VVT ZXI,2016,7.75,9.86,33429,Diesel,Dealer,Manual,0
Maruti Zen Estilo VXI BSIV W ABS,2017,10,10.14,20273,Diesel,Dealer,Manual,0
Mahindra Xylo E4 8S,2016,8.7,10.17,42367,Diesel,Dealer,Manual,0
Tata Tiago 1.2 Revotron XZ WO Alloy,2018,4.1,4.85,2135,Petrol,Dealer,Manual,0
Mahindra Bolero 2011-2019 SLE,2016,8.1,11.63,51000,Diesel,Dealer,Manual,0
Maruti Swift Dzire VDI,2016,8.75,11.19,15000,Petrol,Dealer,Automatic,0
Maruti Swift Dzire VXI,2016,7.35,8.96,26000,Petrol,Dealer,Manual,0
Mahindra Bolero 2011-2019 ZLX,2010,3.5,8.46,77427,Petrol,Dealer,Manual,1
Tata Zest Revotron 1.2 XT,2017,9,12.04,43000,Diesel,Dealer,Manual,1
Renault Scala Diesel RxZ,2016,8.5,12.04,41678,Diesel,Dealer,Manual,1
Ford Figo Diesel LXI,2017,9,12.04,43000,Diesel,Dealer,Manual,1
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2016,4.5,6.34,35500,CNG,Dealer,Manual,1
Maruti SX4 Vxi BSIII,2011,3.9,9.23,41442,Petrol,Dealer,Manual,1
Maruti Ertiga VXI Limited Edition,2017,4.1,5.2,25000,Petrol,Dealer,Manual,1
Maruti Swift VDI BSIV,2018,6.15,6.96,2400,Petrol,Dealer,Manual,1
Hyundai i20 Sportz 1.2,2012,5.65,9.26,50000,Petrol,Dealer,Automatic,1
Renault KWID Climber 1.0 MT,2015,3.75,4.71,45280,Petrol,Dealer,Manual,1
Mahindra Jeep Classic,2014,4.15,5.66,56879,Petrol,Dealer,Manual,1
Tata Nano CX,2012,4.25,6.24,20000,Petrol,Dealer,Manual,1
Tata Safari Storme EX,2014,5.4,7.12,55138,Petrol,Dealer,Manual,1
Maruti Ciaz ZDi Plus,2018,7.25,7.74,16200,Petrol,Individual,Manual,1
Renault KWID RXT,2011,3.2,5.2,44542,Petrol,Dealer,Manual,1
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,8.7,11.63,45000,Diesel,Dealer,Manual,1
Maruti Alto LX,2013,4.35,7.23,51439,Diesel,Dealer,Manual,1
Renault KWID RXT Optional,2012,3.6,6.14,54200,Petrol,Dealer,Manual,1
Maruti Wagon R VXI Minor,2015,6.2,8.74,39000,Diesel,Dealer,Manual,1
Maruti Eeco CNG 5 Seater AC BSIV,2015,7.25,11.2,45000,Diesel,Dealer,Manual,1
Mahindra Verito 1.4 G4 BSIV,2015,6.75,9.31,45000,Diesel,Dealer,Manual,1
Mahindra Bolero DI,2012,4.2,8.99,49998,CNG,Dealer,Manual,0
Maruti Eeco 5 Seater AC BSIV,2016,5.9,8.45,48767,Petrol,Dealer,Manual,0
Maruti Ritz VDi,2004,1.6,3.53,127000,Petrol,Individual,Manual,0
Chevrolet Optra 1.6 LT Royale,2017,4.25,5.01,10079,Petrol,Dealer,Manual,0
Hyundai EON Magna Plus,2004,3.5,9.23,62000,Petrol,Dealer,Manual,0
Chevrolet Spark 1.0 LT,2017,7.1,9.12,24524,Petrol,Dealer,Automatic,0
Maruti Ciaz Alpha Diesel,2015,3.8,5.23,46706,Petrol,Dealer,Manual,0
Tata Indica V2 DLS TC,2009,3.2,8.4,58000,Petrol,Dealer,Manual,0
Chevrolet Sail 1.2 LT ABS,2015,6.75,9.31,45780,Diesel,Dealer,Manual,0
Maruti Omni MPI STD BSIV,2013,2.5,3.94,50000,Petrol,Dealer,Manual,0
Mahindra Xylo D4 BSIII,2015,8.75,13.29,15000,Petrol,Dealer,Automatic,0
Maruti Alto K10 2010-2014 VXI,2014,3.9,6.14,64532,Petrol,Dealer,Manual,0
Maruti Eeco CNG 5 Seater AC BSIV,2007,2.3,5.4,65000,Petrol,Dealer,Manual,0
Hyundai Elite i20 Sportz Plus CVT BSIV,2016,7.05,8.96,25870,Petrol,Dealer,Manual,0
Hyundai i20 Active 1.4,2018,9,10.54,37000,Petrol,Dealer,Automatic,0
Hyundai Xcent 1.2 VTVT SX,2013,16.15,31.86,104707,Diesel,Dealer,Automatic,0
Maruti Swift Dzire 1.2 Vxi BSIV,2016,24.25,31.86,40000,Diesel,Dealer,Automatic,0
Maruti Alto LXi,2018,19.25,21.02,15000,Diesel,Dealer,Automatic,0
Hyundai Getz GLX,2014,17.25,31.86,135000,Diesel,Individual,Automatic,0
Hyundai i10 Sportz AT,2006,4,11.46,90000,Petrol,Individual,Manual,0
Maruti Eeco 5 Seater AC BSIV,2010,4.85,16.29,70000,Petrol,Dealer,Automatic,0
Tata Manza Aura Plus Safire,2016,5.75,8.52,40534,Petrol,Dealer,Manual,0
Honda BR-V i-VTEC E MT,2011,6,19.79,50000,Petrol,Dealer,Manual,0
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2015,5.35,8.05,39485,Petrol,Dealer,Manual,1
Maruti Swift VDI,2015,21.24,37.21,41000,Diesel,Dealer,Automatic,0
Maruti 800 Std BSII,2014,8.2,19.86,40001,Petrol,Dealer,Manual,0
Maruti Ritz VDi,2016,5.75,8.95,40588,Petrol,Dealer,Manual,0
Maruti Wagon R VXi BSII,2015,20,37.21,78000,Diesel,Dealer,Automatic,0
Mercedes-Benz New C-Class 220 CDI AT,2016,24.75,37.21,47000,Diesel,Dealer,Automatic,0
Hyundai i20 Era Diesel,2018,34.25,37.48,6000,Diesel,Dealer,Automatic,0
Toyota Innova 2.5 GX 8 STR,2015,6,8.2,45000,Diesel,Dealer,Manual,0
Maruti Wagon R VXI BS IV,2018,21,24.4,11000,Petrol,Dealer,Automatic,0
Hyundai Getz GLE,2011,10.5,21.7,59000,Diesel,Dealer,Manual,0
Maruti Ciaz VDi Plus SHVS,2012,5.6,14.99,88000,Petrol,Dealer,Manual,0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2017,15.5,22.16,12000,Petrol,Dealer,Manual,0
Chevrolet Aveo U-VA 1.2 LS,2015,5.2,8.01,71000,Diesel,Dealer,Manual,0
Hyundai Getz GLE,2012,5.75,13.73,45000,Diesel,Dealer,Manual,0
Maruti Swift Glam,2014,8.7,19.86,56001,Petrol,Dealer,Manual,0
Honda City 1.5 EXI,2012,3.9,6.96,43000,Petrol,Dealer,Manual,0
Maruti Alto LX,2015,6.15,10.18,83000,Diesel,Dealer,Manual,0
Tata Nano Cx BSIV,2016,5.2,8.05,36000,Petrol,Dealer,Manual,0
Renault Lodgy World Edition 110PS,2014,6.75,15.93,72000,Petrol,Dealer,Manual,0
Renault KWID RXL,2005,2.75,13.6,135154,Petrol,Dealer,Automatic,0
Maruti Wagon R VXI 1.2,2011,6.5,24.08,80000,Petrol,Dealer,Automatic,0
Mahindra Bolero 2011-2019 Plus AC,2013,15.75,31.86,89000,Diesel,Dealer,Automatic,0
Hyundai i20 1.2 Asta,2017,15.98,16.14,23000,Diesel,Dealer,Manual,0
Honda BRV i-DTEC V MT,2016,6,9.1,40000,Diesel,Dealer,Manual,0
Tata Indigo CR4,2018,24.25,26.64,15000,Diesel,Dealer,Automatic,0
Hyundai i20 1.2 Asta Option,2016,13.75,14.71,38000,Diesel,Dealer,Manual,0
Maruti Ritz VXI,2006,4.74,14.71,197176,Diesel,Dealer,Manual,0
Tata Indigo CS LS (TDI) BS-III,2007,3.75,24.98,142000,Petrol,Individual,Automatic,3
Maruti Swift Dzire VDI,2011,36.25,93.85,78000,Diesel,Dealer,Manual,0
Maruti Swift VDI BSIV,2013,7.15,14.99,56000,Petrol,Dealer,Manual,0
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,2014,4.7,7.3,47000,Petrol,Dealer,Manual,0
Tata Manza Aura Quadrajet,2015,6,8.01,40000,Petrol,Dealer,Manual,0
Ford Fiesta 1.4 Duratec EXI,2010,5.05,19.86,62000,Petrol,Dealer,Manual,0
Hyundai i20 Active S Diesel,2015,12.5,17.34,58242,Diesel,Dealer,Manual,0
Mahindra Scorpio LX 2.6 Turbo,2006,4.76,14.95,75000,Petrol,Dealer,Manual,0
Tata Safari DICOR 2.2 EX 4x2,2016,24.25,31.86,40000,Diesel,Dealer,Automatic,0
Volkswagen Vento Diesel Highline,2009,5.25,24.03,89000,Petrol,Dealer,Automatic,0
Chevrolet Beat LT,2013,7.1,19.86,72000,Petrol,Dealer,Manual,0
Maruti Alto LX,2017,22,26.64,29000,Diesel,Dealer,Automatic,0
Hyundai Xcent 1.1 CRDi S Option,2018,18.25,19.89,8700,Petrol,Dealer,Automatic,0
Renault Pulse RxZ,2014,8.3,19.86,45000,Petrol,Dealer,Automatic,0
Tata Indica Vista Quadrajet VX,2011,10.9,21.7,50024,Diesel,Dealer,Automatic,0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2017,3,3.15,3000,Petrol,Individual,Automatic,0
Ford Figo Diesel Titanium,2018,2.95,3.07,1400,Petrol,Individual,Automatic,0
Hyundai Xcent 1.2 CRDi SX,2018,2.9,3.03,4000,Petrol,Individual,Automatic,0
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),2018,2.7,2.85,1200,Petrol,Individual,Manual,0
Hyundai Santa Fe 2WD AT,2018,2.6,2.72,4100,Petrol,Individual,Manual,0
Chevrolet Optra Magnum 1.6 LT Petrol,2016,2.6,3.62,21700,Petrol,Individual,Manual,0
Tata New Safari DICOR 2.2 EX 4x2,2015,2.6,4.7,16500,Petrol,Individual,Manual,1
Honda Accord 2.4 AT,2014,2.5,2.75,15000,Petrol,Individual,Manual,0
